Week,amazon: (Google Shopping),amazon: (News search),tax: (News search),amazon: (Youtube search),Open,High,Low,Close ,Adj Close ,Volume
2019-07-28,74,25,11,42,96.5,96.61,90.4,91.16,91.16,"430,886,000"
2019-08-04,76,24,9,41,88.51,91.71,87.44,90.38,90.38,"444,728,000"
2019-08-11,72,25,8,39,89.8,91.59,87.86,89.63,89.63,"371,404,000"
2019-08-18,74,100,9,100,90.9,91.48,87.26,87.48,87.48,"294,038,000"
2019-08-25,75,52,10,87,88.35,89.99,87.18,88.81,88.81,"291,864,000"
2019-09-01,70,33,7,50,88.5,92.1,88.4,91.68,91.68,"233,496,000"
2019-09-08,70,30,9,47,92.05,92.68,90.27,91.97,91.97,"256,820,000"
2019-09-15,73,29,11,43,91.2,91.63,89.05,89.71,89.71,"310,738,000"
2019-09-22,73,32,15,50,88.85,89.79,85.69,86.27,86.27,"369,510,000"
2019-09-29,78,29,10,54,86.35,87.78,84.25,86.98,86.98,"299,408,000"
2019-10-06,72,25,10,47,86.58,87.39,85.25,86.6,86.6,"251,408,000"
2019-10-13,76,25,10,50,86.45,89.94,86.1,87.88,87.88,"275,904,000"
2019-10-20,73,29,10,49,88.48,89.49,84.75,88.07,88.07,"409,056,000"
2019-10-27,71,26,11,44,87.4,89.87,87.13,89.57,89.57,"280,136,000"
2019-11-03,70,26,9,45,90.05,90.75,88.7,89.29,89.29,"229,232,000"
2019-11-10,73,28,10,43,88.9,89.31,86.64,86.97,86.97,"263,310,000"
2019-11-17,77,29,10,49,86.92,88.13,86.14,87.29,87.29,"260,846,000"
2019-11-24,84,36,9,50,87.66,91.23,87.66,90.04,90.04,"232,328,000"
2019-12-01,83,33,10,47,90.22,90.28,87,87.58,87.58,"318,356,000"
2019-12-08,83,29,9,45,87.53,88.45,86.75,88.05,88.05,"257,926,000"
2019-12-15,82,29,11,46,88.35,90.15,87.85,89.32,89.32,"358,892,000"
2019-12-22,75,27,7,47,89.41,95.07,89.23,93.49,93.49,"304,194,000"
2019-12-29,72,25,9,46,93.7,94.9,91.61,93.75,93.75,"279,492,000"
2020-01-05,73,24,9,46,93,95.89,93,94.16,94.16,"352,714,000"
2020-01-12,69,26,10,44,94.57,94.9,92.75,93.24,93.24,"315,502,000"
2020-01-19,72,25,10,46,93.25,95.13,92.37,93.08,93.08,"263,498,000"
2020-01-26,71,25,14,41,91,102.79,90.77,100.44,100.44,"606,384,000"
2020-02-02,72,23,13,43,100.53,104.93,100.01,103.96,103.96,"476,710,000"
2020-02-09,70,24,11,41,104.25,109.3,104.25,106.74,106.74,"395,490,000"
2020-02-16,71,23,12,43,106.25,109.25,104.4,104.8,104.8,"265,688,000"
2020-02-23,74,21,10,42,100.16,101.96,90.56,94.19,94.19,"712,314,000"
2020-03-01,73,23,8,42,95.32,99.82,93.47,95.05,95.05,"581,818,000"
2020-03-08,80,22,10,40,88.69,94.71,83.75,89.25,89.25,"814,544,000"
2020-03-15,97,30,14,42,82.08,97.85,81.3,92.3,92.3,"993,948,000"
2020-03-22,100,31,12,40,91.39,97.82,90.6,95,95,"660,878,000"
2020-03-29,98,31,10,43,96.14,99.65,94.46,95.33,95.33,"466,350,000"
2020-04-05,95,29,10,44,96.8,102.65,96.5,102.14,102.14,"390,220,000"
2020-04-12,91,36,11,48,102,123.05,101.9,118.75,118.75,"832,774,000"
2020-04-19,88,31,9,48,119.5,122.25,113.98,120.51,120.51,"527,022,000"
2020-04-26,87,34,8,48,122.16,123.75,112.91,114.3,114.3,"696,276,000"
2020-05-03,83,31,9,49,112.82,119.36,112.82,118.98,118.98,"356,584,000"
2020-05-10,83,31,10,48,118.74,120.98,116.89,120.49,120.49,"380,002,000"
2020-05-17,78,32,8,51,120.22,126.27,119.2,121.84,121.84,"413,146,000"
2020-05-24,78,30,9,50,122.9,123.1,116.5,122.12,122.12,"306,504,000"
2020-05-31,76,36,8,52,122.4,125.38,121.86,124.15,124.15,"287,698,000"
2020-06-07,73,32,9,55,125.01,136.12,124.37,127.25,127.25,"506,578,000"
2020-06-14,71,29,9,51,126.33,134.87,125.4,133.75,133.75,"373,496,000"
2020-06-21,74,28,9,54,134.23,139.8,133.45,134.64,134.64,"428,732,000"
2020-06-28,76,29,10,55,134.5,147.78,131.5,144.51,144.51,"418,998,000"
2020-07-05,70,31,11,56,146.75,160.75,146.5,160,160,"581,008,000"
2020-07-12,77,31,10,55,162.55,167.21,145.91,148.1,148.1,"637,934,000"
2020-07-19,76,30,9,56,150.01,162.03,144.4,150.45,150.45,"582,260,000"
2020-07-26,76,34,8,58,153.1,162.34,149.79,158.23,158.23,"489,702,000"
2020-08-02,75,27,11,61,159.03,162.37,155.06,158.37,158.37,"431,244,000"
2020-08-09,75,25,13,60,158.52,160.88,153.65,157.4,157.4,"326,164,000"
2020-08-16,66,29,11,56,158.66,166,157.71,164.24,164.24,"382,614,000"
2020-08-23,65,27,9,58,165.51,172.65,162.88,170.09,170.09,"446,592,000"
2020-08-30,67,31,11,57,170.45,177.61,155.56,164.73,164.73,"569,850,000"
2020-09-06,68,28,10,55,157.2,167.49,154.2,155.81,155.81,"434,152,000"
2020-09-13,70,30,9,53,158.65,159.37,145.28,147.75,147.75,"568,100,000"
2020-09-20,69,31,9,57,145.32,156.7,143.55,154.76,154.76,"577,280,000"
2020-09-27,68,29,16,55,157.44,161.2,155.86,156.25,156.25,"464,022,000"
2020-10-04,64,28,10,61,157.29,164.45,154.5,164.33,164.33,"425,072,000"
2020-10-11,78,39,9,68,167.5,174.81,158,163.64,163.64,"632,388,000"
2020-10-18,84,29,10,69,164.98,166.45,156.1,160.22,160.22,"440,094,000"
2020-10-25,76,30,8,63,159.94,164.58,150.95,151.81,151.81,"615,268,000"
2020-11-01,76,25,7,58,153.09,168.34,147.51,165.57,165.57,"588,618,000"
2020-11-08,76,32,8,61,161.55,164.45,150.97,156.44,156.44,"525,330,000"
2020-11-15,76,41,8,57,154.66,159.46,153.63,154.97,154.97,"331,098,000"
2020-11-22,80,38,8,57,155.84,160.81,153.27,159.77,159.77,"289,886,000"
2020-11-29,79,34,8,54,160.42,162.45,156.28,158.13,158.13,"350,716,000"
2020-12-06,77,33,8,53,157.82,159.21,153.64,155.82,155.82,"324,666,000"
2020-12-13,80,34,9,56,157.15,163.18,156.3,160.08,160.08,"427,458,000"
2020-12-20,75,29,11,57,160,161.35,158.3,158.63,158.63,"195,038,000"
2020-12-27,76,29,12,55,159.7,167.53,158.63,162.85,162.85,"334,524,000"
